"ORDERTYPE","CHANNELID","SALESCHANNEL","SALESPERSON","CREATIONDATE","STOREID","SUBSALESCHANNEL"
"ACTIVATION","RETAIL","In-Person","repretail",28/08/2023 19:53:52,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",28/08/2023 19:38:53,"7806","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",28/08/2023 19:38:04,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",28/08/2023 02:09:22,"7806","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:13:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:13:14,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:12:26,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:11:46,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",28/08/2023 00:11:39,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",28/08/2023 00:08:05,"4683","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:07:28,"","Back Office and Support"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",28/08/2023 00:07:24,"4683","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:07:09,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:07:04,"","Back Office and Support"
"POSTPAYMENT","ERICSSON","Support","EMM",28/08/2023 00:05:01,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:04:57,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/08/2023 00:03:26,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",27/08/2023 23:52:58,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",27/08/2023 23:08:36,"7806","Full Service"
"ACTIVATION","CARE","Over the Phone","KVIKRAM2",27/08/2023 23:07:16,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",27/08/2023 23:05:07,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",27/08/2023 21:18:48,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",27/08/2023 20:05:35,"4683","Full Service"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:36:25,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:35:50,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:32:42,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","repretail",25/08/2023 01:31:19,"4683","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:31:11,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:30:57,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:29:33,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:25:20,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:24:11,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:23:46,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:22:22,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:21:03,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:17:46,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:16:56,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:15:30,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:15:26,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:15:01,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:14:22,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:08:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:08:41,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:06:55,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:06:40,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:05:40,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:05:14,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:03:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:03:24,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:02:45,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 01:02:16,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 01:01:11,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:59:55,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:58:34,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:58:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:57:51,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:56:18,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:53:31,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:52:11,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:50:24,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:48:33,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:48:03,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:47:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:47:00,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:43:41,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:42:31,"","Back Office and Support"
